number,reverse,actor,name,talk
0,0,,허풍선이,아! 저기 나를 숭배할 사람이 오는구나!
1,0,0,,허풍선이는 멀리서 어린 왕자를 보자마자 소리쳤다.
2,0,1,어린왕자,안녕하세요. 참 이상하게 생긴 모자를 쓰고 있네요.
3,0,3,허풍선이,이 모자는 답례를 하기 위한 거야. 사람들이 나에게 환호를 보낼 때 말이야.
4,0,3,허풍선이,손뼉을 마주대고 쳐 봐.
5,0,0,,어린왕자는 손뼉을 쳤다. 그러자 허풍선이가 모자를 올리며 답례했다.
6,0,3,허풍선이,너는 정말로 나를 찬미하고 있지?
7,0,1,어린왕자,찬미한다는 게 뭐에요?
8,0,3,허풍선이,내가 이 별에서 가장 잘생기고 멋지다는 걸 인정하는 거지.
9,0,1,어린왕자,하지만 이 별에는 아저씨 혼자뿐이잖아요!
10,0,0,,어린 왕자는 어깨를 으쓱하며 별을 떠났다.
11,0,0,,떠났다.
12,0,0,,떠났다.
13,1,4,ŁÆŧÐ,아! 드디어 사람이 오는구나!
14,1,0,,ŁÆŧÐ는 멀리서 어린 왕자를 보자마자 소리쳤다.
15,1,2,어린왕자,안녕하세요. 오랜만이에요.
16,1,4,ŁÆŧÐ,그래. 정말 오랜만이지. 너가 다시 이 별에 찾아와서 기쁘구나.
17,1,2,어린왕자,아직도 그 멋진 모자를 쓰고 있네요?
18,1,4,ŁÆŧÐ,그럼. 이 모자를 만든 사람은 최고의 장인이었지. 멋지지 않니?
19,1,0,,ŁÆŧÐ는 겸손하게 말했다.
20,1,0,,어린 왕자는 아주 만족스러운 표정을 지었다.
21,1,0,,"그리고 몇 마디 중얼거린 후, 허풍선이를 보며 말했다."
22,1,2,어린왕자,"그럼, 다음에 올 때도 잘 부탁드려요."
23,1,0,,그리고 어린 왕자는 별을 떠났다
,,,,
