number,reverse,actor,name,talk
0,0,0,,그 다음 별에는 술꾼이 살고 있었다.
1,0,1,어린왕자,여기서 뭐 하세요?
2,0,3,술꾼,술을 마시지
3,0,1,어린왕자,왜 술을 마셔요?
4,0,3,술꾼,화를 가라앉히기 위해서지
5,0,1,어린왕자,왜 화가 나셨는데요?
6,0,3,술꾼,술 마시는게 화가 나!
7,0,0,,술꾼은 버럭 소리를 질렀다.
8,0,0,,어린 왕자는 속으로 무언가 중얼거리며 별을 떠났다.
9,1,0,,이 별에는 ￠∮§∀가 살고 있었다.
10,1,2,어린왕자,안녕하세요.
11,1,4,￠∮§∀,"안녕, 오랜만이구나."
12,1,2,어린왕자,지금은 뭐 하세요?
13,1,4,￠∮§∀,술을 만들고 있지
14,1,2,어린왕자,왜 술을 만들어요?
15,1,4,￠∮§∀,주변의 별에 팔기 위해서야
16,1,2,어린왕자,저쪽에 있는 건요?
17,1,0,,어린 왕자는 구석의 술병들을 가리키며 물었다.
18,1,4,￠∮§∀,아직 팔리지 않은 술이야. 빨리 누군가에게 팔아야 하는데..
19,1,0,,어린왕자는 속으로 작게 중얼거린 뒤 말했다.
20,1,2,어린왕자,음… 다음에 왔을 땐 저 술들이 없으면 좋겠네요!
21,1,4,￠∮§∀,그래. 고맙구나. 다음에 또 놀러 오렴.
22,1,2,어린왕자,네. 술꾼 아저씨
23,1,0,,어린 왕자는 만족스러운 표정으로 별을 떠났다.
