number,reverse,actor,name,talk
0,0,3,왕,아! 저기 신하가 한 명 오는구나!
1,0,0,,왕은 어린 왕자를 보자 이렇게 소리쳤다.
2,0,1,어린왕자,저 사람은 어떻게 나를 알지?
3,0,0,,그렇게 생각하며 걸어가던 어린 왕자는 무심코 하품이 나왔다.
4,0,3,왕,하품하는 것은 예의에 어긋나는 일이다. 하품을 금하노라.
5,0,1,어린왕자,하지만 너무 피곤한걸요. 너무 긴 여행을 했어요.
6,0,3,왕,그렇다면 네게 하품을 명하노라.
7,0,1,어린왕자,그렇게 말씀하시니 하품이 더 이상 나오지 않아요…
8,0,3,왕,어험! 어험! 그렇다면 어떤 때는 하품을 하고 어떤…
9,0,0,,왕은 약간 화가 난 것처럼 보였다.
10,0,0,,왕에게는 불복종은 결코 용납할 수 없었다.
11,0,0,,하지만 왕은 선량한 사람이었기 때문에 이성적인 명령을 내렸다.
12,0,1,어린왕자,앉아도 될까요?
13,0,3,왕,짐은 네게 앉으라 명하노라.
14,0,1,어린왕자,폐하는 무엇을 다스리고 계시지요?
15,0,3,왕,모든 것을 지배한다.
16,0,1,어린왕자,이 모든 것들을요?
17,0,3,왕,이 모든 것들을 다!
18,0,1,어린왕자,저는 해가 지는 것을 보고 싶어요... 제 소원을 들어주세요…
19,0,1,어린왕자,해가 지도록 명해주세요…
20,0,3,왕,각자가 할 수 있는 일을 명해야 하느니라.
21,0,3,왕,"짐이 복종을 강요할 수 있는 것은, 이치에 맞는 명령을 하기 때문이다."
22,0,1,어린왕자,그럼 제 소원은요?
23,0,3,왕,너는 해 지는 걸 보게 될 것이다. 아마도.. 오늘 저녁 7시 40분경이 될 것이다!
24,0,0,,어린 왕자는 잠시 중얼거리다 일어섰다.
25,0,1,어린왕자,여기서는 더 이상 할 일이 없네요. 이제 떠나야겠어요!
26,0,3,왕,떠나지 마라. 너를 장관으로 임명하노라.
27,0,0,,어린 왕자는 고개를 가로저었다.
28,0,1,어린왕자,이만 갈게요. 안녕히 계세요.
29,0,0,어린왕자,(폐하도 예전같지 않으시구나..)
,,,,
