number,reverse,actor,name,talk
0,0,0,,어린 왕자는 가로등이 있는 작은 별에 도착했다.
1,0,0,,그 별의 가로등지기는 누워서 쉬고 있었다.
2,0,1,어린왕자,안녕하세요. 이 가로등은 뭔가요?
3,0,3,점등인,가로등은 가로등이지. 안녕.
4,0,1,어린왕자,왜 여기에 가로등이 있는 건데요?
5,0,3,점등인,"낮에는 불을 끄고, 밤에는 불을 켜기 위해서지, 나도 그렇고."
6,0,1,어린왕자,그렇군요. 지금은 낮이라 가로등이 꺼져 있는 건가요?
7,0,3,점등인,음... 사실 지금은 밤이야. 아직 가로등을 켜지 않았어.
8,0,1,어린왕자,가로등을 켜지 않아도 되나요?
9,0,3,점등인,이 곳은 하루가 일 분밖에 되지 않아!
10,0,3,점등인,"지금 가로등을 켜도, 15초 뒤에 다시 가로등을 꺼야 할 거란다."
11,0,1,어린왕자,하지만 그게 아저씨 일이잖아요.
12,0,3,점등인,"그 일이 문제야! 나는 일 초도 쉴 수가 없어. 일 분마다 불을 켜고, 끈다고!"
13,0,1,어린왕자,제가 좋은 방법을 알아요. 이 별은 아주 작잖아요?
14,0,1,어린왕자,"앞으로 아주 조금씩 걸으면, 이 별은 항상 낮일 거에요."
15,0,3,점등인,그건 나에게 별로 도움이 되지 못하겠는데.
16,0,3,점등인,내가 가장 좋아하는 것은 바로 누워서 잠을 자는 거야.
17,0,1,어린왕자,그거 유감이네요.
18,0,0,,어린 왕자는 아쉬워하며 별을 떠났다.
19,1,0,,어린 왕자는 가로등이 있는 작은 별에 도착했다.
20,1,0,,"어린 왕자가 별에 도착하자, 별의 가로등이 꺼졌다."
21,1,2,어린왕자,"안녕하세요., 왜 방금 가로등을 껐어요?"
22,1,4,Ω∑ㆍ㏉,명령이니까. 안녕.
23,1,2,어린왕자,명령이 뭔데요?
24,1,4,Ω∑ㆍ㏉,가로등을 끄는 거지. 잘 자!
25,1,0,,그리고 Ω∑ㆍ㏉는 다시 가로등을 켰다.
26,1,2,어린왕자,아니 왜 또 불을 켰나요?
27,1,4,Ω∑ㆍ㏉,명령이니까.
28,1,4,Ω∑ㆍ㏉,"아침에 불을 끄고, 저녁에 다시 켜면 돼. 그게 명령이야."
29,1,2,어린왕자,하지만 이 별은 하루가 일 분밖에 안되는 걸요?
30,1,4,Ω∑ㆍ㏉,"그게 문제야. 하루에 일 초도 쉴 수가 없어. 일 분마다 불을 켜고, 끈다고!"
31,1,0,,어린 왕자는 Ω∑ㆍ㏉를 쳐다보았다.
32,1,0,,그는 이 Ω∑ㆍ㏉를 도와주고 싶었다.
33,1,0,,어린 왕자는 중얼중얼 말했다.
34,1,2,어린왕자,…
35,1,2,어린왕자,"다음에 왔을 땐, 푹 쉬셨으면 좋겠어요."
36,1,4,Ω∑ㆍ㏉,그래. 나도 푹 잤으면 좋겠구나..
37,1,0,,어린 왕자는 고개를 끄덕이며 별을 떠났다.
,,,,
