number,reverse,actor,name,talk
0,0,1,어린왕자,너는 누구니? 참 예쁘구나…
1,0,3,여우,난 여우야.
2,0,1,어린왕자,와서 나랑 놀자.
3,0,3,여우,나는 너와 놀 수 없어. 난 길들여지지 않았거든.
4,0,1,어린왕자,길들인다는게 무슨 뜻이야?
5,0,3,여우,관계를 맺는다는 뜻이야.
6,0,1,어린왕자,관계를 맺는다고?
7,0,3,여우,물론이지. 우리는 지금 서로에게 아무것도 특별할 것이 없어.
8,0,3,여우,하지만 네가 나를 길들이면 우리는 서로에게 하나뿐인 존재가 되는거야.
9,0,0,,어린 왕자는 여우를 길들였다.
10,1,0,,그러다가 헤어질 시간이 다가왔다.
11,1,2,어린왕자,잘 있어.
12,1,4,여우,안돼! 가지 마.
13,1,2,어린왕자,하지만 난 이제 돌아가야 해.
14,1,4,여우,안돼. 너가 나를 길들였잖아. 우리는 같이 있어야 해.
15,1,2,어린왕자,길들인다는 건 그런 거야?
16,1,4,여우,"물론이지. 내가 너를 생각하는 만큼, 너도 나를 바라봐야 해."
17,1,0,,어린 왕자는 난처한 표정을 지었다. 그리고 작게 웃었다.
18,1,2,어린왕자,좋아. 그러면 내 친구한테 부탁하자.
19,1,2,어린왕자,그 친구는 우리를 별보다 더 멀리 데려다 줄 수 있어.
20,1,4,여우,그러면 같이 있을 수 있어?
21,1,2,어린왕자,"그럼, 먼저 가서 기다리고 있어. 난 내 꽃에게 줄 선물을 가져가야 하니까."
22,1,0,,여우는 그 말을 듣고 만족스러운 듯 멀어졌다.
23,0,1,어린왕자,"자, 이게 나의 여행이었어."
24,0,3,조종사,정말 긴 여행이었구나. 이제 별로 돌아갈 거니?
25,0,1,어린왕자,맞아. 양 그림 정말 고마워!
26,0,3,조종사,나도 이제 비행기가 고쳐져서 집에 간단다.
27,0,1,어린왕자,와! 정말? 그럼 가기 전에 부탁 하나만 들어줄 수 있어?
28,0,3,조종사,어떤 부탁인데?
29,0,1,어린왕자,장미 농원에 데려다줘.
30,0,3,조종사,장미 농원? 장미 농원은 왜?
31,1,5,어린왕자,장미 꽃씨를 가져가려고.
