number,reverse,actor,name,talk
0,0,0,,어린 왕자는 커다란 별에 도착했다.
1,0,3,지리학자,어라! 탐험가 한 명이 오는군!
2,0,0,,어린 왕자를 알아차린 신사가 소리쳤다.
3,0,1,어린왕자,아저씨는 누구에요?
4,0,3,지리학자,나는 지리학자란다.
5,0,1,어린왕자,지리학자가 뭔데요?
6,0,3,지리학자,"지리학자란 바다가 어디에 있는지, 산이 어디에 있는지 아는 학자지."
7,0,0,,어린 왕자는 재밌다는 듯 주변을 둘러보았다.
8,0,1,어린왕자,아저씨의 별은 정말 멋있네요. 대양도 있나요?
9,0,3,지리학자,그건 알 수 없단다.
10,0,1,어린왕자,아! 그럼 산은요?
11,0,3,지리학자,그것도 알 수 없어.
12,0,1,어린왕자,하지만 아저씨는 지리학자잖아요!
13,0,3,지리학자,그럼 틀림없지. 하지만 난 탐험가가 아니야.
14,0,3,지리학자,난 탐험가들이 모아온 내용을 정리하지.
15,0,1,어린왕자,아저씨는 직접 가서 확인해보지 않나요?
16,0,3,지리학자,그래. 그러기엔 시간이 부족하거든.
17,0,3,지리학자,나는 더 많은 내용을 정리해야만 해.
18,0,0,,어린 왕자는 지리학자도 사업가와 비슷하다고 느꼈다.
19,0,1,어린왕자,저는 이만 가볼게요.
20,0,3,지리학자,그래. 다음에 올 때는 너희 별에 대해서도 알려주렴.
21,0,0,,어린 왕자는 고민하며 별을 떠났다.
22,1,0,,어린 왕자는 커다란 별에 도착했다.
23,1,2,어린왕자,안녕하세요. 아저씨는 누구에요?
24,1,4,¿╀Δ↗,난 ¿╀Δ↗란다.
25,1,2,어린왕자,그럼 장미가 많이 자라는 곳도 아시나요?
26,1,4,¿╀Δ↗,물론이지. 장미는 지구라는 별에 많이 자란단다.
27,1,2,어린왕자,정말요? 그런 별은 처음 들어봤어요.
28,1,4,¿╀Δ↗,내가 직접 확인했단다. 그곳의 장미 농장이라는 곳에 가면 굉장히 많이 있어.
29,1,2,어린왕자,지구를 직접 가보셨다구요?
30,1,4,¿╀Δ↗,그럼. 나는 확실한 정보만 정리하거든.
31,1,2,어린왕자,그럼 시간이 부족하시지 않나요?
32,1,4,¿╀Δ↗,양보다 정확도가 중요하지. 너무 욕심부리면 안돼.
33,1,2,어린왕자,그런가요?
34,1,0,,어린 왕자는 ¿╀Δ↗를 보며 생각에 잠겼다.
35,1,2,어린왕자,전 이제 지구라는 별에 가볼게요.
36,1,2,어린왕자,다음에 왔을 때는 정보를 더 많이 모으시길 바라요.
37,1,4,¿╀Δ↗,그래. 고맙구나. 잘 가렴.
38,1,0,,"어린 왕자가 별을 떠나고, 지리학자는 책을 펼쳤다."
,,,,
