number,reverse,actor,name,talk
0,0,1,어린왕자,저기…
1,0,3,조종사,응?
2,0,1,어린왕자,양 한 마리만 그려줘.
3,0,3,조종사,나는 그림을 잘 그리지 못해.
4,0,1,어린왕자,괜찮아. 양 한 마리만 그려줘.
5,0,0,,조종사는 여러 번 양을 그려주었지만 번번이 퇴짜를 맞았다.
6,0,0,,인내심이 바닥난 조종사는 상자를 그려 어린 왕자에게 내밀었다.
7,0,3,조종사,"자, 이건 상자야. 네가 원하는 양은 이 안에 있어."
8,0,0,,어린 왕자는 매우 기뻐하며 물었다.
9,0,1,어린왕자,이게 바로 내가 원하던 거야! 이 양은 꽃도 먹을까?
10,0,3,조종사,양은 보이는 거면 무엇이든지 다 먹어버려.
11,0,1,어린왕자,가시가 있는 꽃도 먹을까?
12,0,3,조종사,그럼. 가시가 있는 꽃도 먹지.
13,0,0,,어린 왕자는 살짝 기쁜 듯 보였다.
14,0,1,어린왕자,정말 고마워. 이 양을 찾아서 정말 많은 별을 돌아다녔거든.
15,0,0,,그리고는 어린 왕자는 자신이 다녀간 별들에 대해 이야기하기 시작했다.
,,,,
